Date,Actual,Basic_nn
2009-07-20,9756.61,9973.259
2009-07-20,9631.32,9796.056
2009-07-20,9552.48,9647.3
2009-07-20,9515.32,9529.178
2009-07-20,9414.09,9444.205
2009-07-20,9474.05,9370.7705
2009-07-20,9565.16,9318.537
2009-07-20,9897.96,9369.181
2009-07-20,10543.76,9520.502
2009-07-20,11399.46,9761.487
2009-07-20,11519.25,10196.177
2009-07-20,11483.43,10858.145
2009-07-20,11267.61,11408.479
2009-07-20,11131.71,11569.111
2009-07-20,11005.4,11537.73
2009-07-20,10804.42,11452.897
2009-07-20,10535.48,11398.058
2009-07-20,10109.04,11316.972
2009-07-20,10050.76,11093.163
2009-07-20,9733.67,10788.34
2009-07-20,9457.09,10519.217
2009-07-21,9225.64,10343.1875
2009-07-21,9015.47,9883.398
2009-07-21,8819.78,9514.684
2009-07-21,8665.95,9021.511
2009-07-21,8367.28,8760.333
2009-07-21,8000.23,8584.13
2009-07-21,7662.61,8488.114
2009-07-21,7397.91,8223.587
2009-07-21,7237.33,7780.799
2009-07-21,7201.11,7470.5654
2009-07-21,7231.26,7254.6807
2009-07-21,7554.24,7143.597
2009-07-21,7991.94,7134.578
